1stFlrSF,2ndFlrSF,3SsnPorch,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,Id,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,RoofMatl,RoofStyle,SaleCondition,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,Utilities,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold
729,0,0,2,0,4,4,0,0,6,6,0,0,4,270,1,2,2,5,0,4,2,12,13,0,1,1,1,0,0,3,1,3,6,1980.0,729,0,1,2,2,711,1,3,3,0,4130,4,56.0,0,0,30,3,0.0,3,0,7,3,0,6,3,0,0,1,1,4,8,0,1,5,270,0,0,1935,2003,2008
1586,0,0,3,0,0,4,0,0,6,6,0,0,2,1362,1,2,2,5,0,2,3,6,6,1,1,2,6,435,2,5,3,5,1,1979.0,1586,0,1,4,2,125,1,3,3,0,17043,1,48.0,0,0,20,3,0.0,3,0,1,14,0,5,6,2,0,1,1,4,8,0,1,7,1362,0,192,1979,1998,2009
2234,0,0,1,0,4,4,1904,0,2,6,1,0,0,312,1,2,2,5,0,4,0,12,13,1,2,2,6,1166,3,5,0,5,1,2009.0,2234,0,1,0,2,179,1,0,3,0,17423,1,63.0,0,0,20,3,748.0,4,0,7,22,60,5,9,2,0,1,3,5,6,0,1,9,2216,0,0,2008,2009,2009
858,0,0,3,0,4,4,614,0,1,6,0,0,4,244,1,2,2,5,0,4,3,6,6,0,1,1,6,0,0,3,1,3,6,1980.0,858,0,1,4,2,288,1,3,3,0,8125,0,69.0,0,0,20,3,0.0,3,0,6,12,0,4,4,2,0,1,1,4,8,0,1,5,858,0,0,1971,1971,2006
833,0,0,3,0,4,4,625,0,0,6,1,0,4,208,1,2,2,5,0,4,3,6,10,0,1,1,6,0,0,3,1,3,6,1980.0,833,0,1,0,2,1408,1,3,3,0,8780,0,69.0,0,0,20,3,0.0,3,0,3,11,0,5,5,2,0,1,1,4,8,0,1,5,833,0,0,1985,1985,2009
1283,0,0,3,0,4,4,504,108,5,1,1,0,4,319,1,2,2,5,0,2,3,8,8,0,1,1,6,506,2,5,3,5,5,1980.0,1283,0,1,4,2,1209,1,3,3,0,7763,4,70.0,3,0,20,3,0.0,3,0,10,12,0,7,5,2,0,1,1,4,8,0,1,6,931,0,0,1962,1980,2008
1644,0,0,3,0,4,4,1285,0,2,6,1,0,4,131,1,2,2,5,0,4,3,6,6,2,1,1,6,418,2,5,0,5,1,1953.0,1644,0,1,4,2,295,1,3,3,0,9600,4,80.0,3,0,20,3,238.0,4,0,10,12,0,5,6,2,0,1,3,4,8,0,1,7,1416,0,110,1953,1953,2009
1383,0,0,3,0,4,4,565,0,5,6,0,0,4,818,1,2,2,5,0,4,3,13,14,0,1,1,6,292,1,5,2,5,1,1960.0,1383,1,1,4,2,328,1,3,3,0,11600,4,80.0,3,0,20,3,175.0,1,0,4,12,45,5,6,2,0,1,3,4,8,0,1,7,1383,0,0,1960,1960,2006
2073,0,0,3,0,4,4,790,163,0,5,1,0,2,589,1,2,2,5,0,4,3,9,10,2,1,2,2,500,2,5,3,5,1,1978.0,2073,0,1,4,2,1457,1,3,3,0,13175,4,85.0,3,0,20,3,119.0,4,0,2,14,0,6,6,2,0,1,1,4,8,0,1,7,1542,0,349,1978,1988,2010
958,581,0,3,0,4,4,0,0,6,6,0,0,4,650,1,2,2,5,68,4,3,8,8,1,2,2,6,686,2,5,3,2,5,1983.0,1539,0,1,2,5,842,1,2,3,0,10440,4,60.0,3,0,70,4,0.0,3,0,6,17,78,8,5,1,0,1,1,4,8,0,1,8,650,0,70,1904,2002,2008
1552,0,0,3,0,4,0,24,0,2,6,0,0,2,1528,1,2,2,5,0,4,2,12,13,0,2,2,6,782,3,5,2,5,1,2005.0,1552,0,1,0,2,1122,1,2,3,0,10084,4,84.0,3,0,20,3,196.0,1,0,7,5,20,5,7,2,0,1,1,5,6,0,1,7,1552,0,144,2005,2006,2006
925,0,0,2,0,4,4,338,466,1,5,0,1,4,121,1,2,2,5,0,4,3,12,13,0,1,1,6,429,1,5,3,5,5,1965.0,925,0,1,0,2,932,1,3,3,0,9100,4,70.0,3,0,20,3,0.0,3,0,7,12,0,6,5,2,0,1,1,4,8,0,1,5,925,0,0,1965,1965,2009
1414,0,0,3,0,4,0,24,0,2,6,0,0,2,1390,1,2,2,5,0,4,2,12,13,0,2,2,6,494,2,5,2,5,1,2004.0,1414,0,1,0,2,237,1,2,3,0,8773,2,65.0,3,0,20,3,98.0,1,0,5,5,105,5,7,2,0,1,1,4,8,0,1,6,1414,0,132,2004,2004,2010
1013,0,0,2,0,0,4,0,0,6,6,0,0,4,1013,0,1,1,5,156,1,1,9,10,0,1,1,6,0,0,3,1,3,6,1980.0,1526,0,1,4,0,89,1,1,3,0,8470,0,105.0,0,513,50,0,0.0,3,0,10,9,0,2,3,0,0,1,3,0,3,0,1,6,1013,0,0,1915,1982,2009
1712,0,0,4,2,4,4,528,0,3,6,0,0,4,1098,1,2,2,5,0,4,3,8,8,0,1,2,6,588,2,5,0,5,1,2005.0,1712,0,1,0,2,887,2,3,3,0,8393,0,70.0,3,0,90,3,122.0,1,0,6,12,54,5,5,2,0,1,1,3,8,0,1,8,1626,0,272,1959,2005,2006
1717,0,0,3,0,4,0,0,0,6,6,0,0,0,1709,1,2,2,5,0,4,2,12,13,1,2,2,6,908,3,5,2,5,1,2006.0,1717,0,1,0,2,553,1,2,3,0,11146,4,87.0,0,0,20,3,250.0,4,0,7,16,39,5,8,2,0,1,1,4,8,0,1,7,1709,0,169,2006,2006,2009
1089,661,0,3,0,0,4,0,0,6,6,0,0,1,636,1,0,2,0,293,4,3,12,13,0,0,1,6,240,1,4,3,1,5,1937.0,1750,0,1,4,5,631,1,0,3,0,9000,0,50.0,3,0,70,4,0.0,3,0,6,17,0,6,5,0,0,1,1,0,8,0,1,8,636,0,0,1880,1991,2006
786,390,0,2,0,4,4,0,0,6,6,0,0,4,698,1,2,2,5,0,4,2,8,8,0,0,1,6,624,2,5,3,5,5,1999.0,1176,0,1,4,0,1353,1,3,3,0,6000,4,50.0,3,0,50,4,0.0,3,0,7,3,0,9,6,0,0,1,1,4,8,0,1,4,698,0,210,1937,2000,2009
1454,482,0,3,0,4,4,0,0,6,6,0,0,2,1406,1,2,2,5,0,4,2,12,13,1,2,2,6,504,2,5,2,5,1,2000.0,1936,1,1,0,5,666,1,2,3,0,11194,0,106.0,0,0,60,3,40.0,1,0,11,8,124,5,8,2,0,1,1,4,8,0,1,7,1406,0,188,2000,2000,2006
858,0,0,2,0,4,4,322,0,0,6,0,0,4,536,1,2,2,5,0,4,3,6,6,0,1,1,6,684,1,5,3,5,5,1979.0,858,0,1,4,2,901,1,3,3,0,7340,4,69.0,0,0,20,3,0.0,3,0,6,12,0,6,4,2,0,1,1,4,8,0,1,4,858,0,0,1971,1971,2007
1079,840,0,3,0,4,0,0,0,6,6,0,0,2,1079,1,2,2,5,0,4,2,12,13,1,2,2,6,685,2,5,2,2,1,2006.0,1919,1,1,0,5,291,1,2,3,0,15611,4,120.0,3,0,60,3,0.0,3,0,7,5,51,5,8,2,0,1,1,5,6,0,1,8,1079,0,0,2006,2006,2006
998,764,0,4,0,4,4,0,0,6,6,1,0,1,596,1,2,2,5,221,4,3,13,14,0,0,1,6,576,2,5,3,5,5,1989.0,1762,1,1,0,5,1383,1,2,3,0,7200,0,60.0,3,0,70,4,0.0,3,0,10,17,0,7,7,0,0,1,3,4,8,0,1,8,596,0,36,1920,1950,2006
1728,0,0,6,2,4,4,231,0,3,6,0,0,4,1497,1,2,2,5,0,4,3,6,6,0,1,2,6,576,2,5,3,5,5,1987.0,1728,0,1,4,2,571,2,3,3,0,13101,4,74.0,0,0,90,3,108.0,1,0,11,12,0,5,5,2,0,1,1,4,8,0,1,10,1728,0,0,1965,1965,2008
764,862,0,2,3,4,4,573,0,2,6,1,0,2,191,1,2,2,5,0,4,2,12,15,0,2,2,6,474,2,5,2,5,3,2003.0,1626,1,1,0,5,349,1,2,3,0,2448,4,36.0,3,0,160,3,106.0,4,0,10,16,27,5,7,2,0,1,1,4,8,0,1,6,764,0,0,2003,2004,2008
664,832,0,3,0,1,0,554,0,2,6,1,0,2,100,1,2,2,5,0,4,2,12,13,1,2,2,6,426,2,5,2,5,1,2006.0,1496,1,1,0,5,545,1,2,3,0,17104,4,58.0,0,0,60,3,0.0,3,0,9,8,24,5,7,2,0,1,1,5,6,0,1,7,654,0,100,2006,2006,2006
790,0,0,2,0,4,2,384,0,5,6,0,0,2,384,0,2,2,5,0,4,3,13,14,0,0,1,6,160,1,5,3,1,5,1925.0,790,0,1,4,2,1377,1,3,0,0,6292,4,52.0,3,0,30,3,0.0,3,0,4,18,141,5,6,2,0,1,1,4,8,0,1,4,768,0,0,1930,1950,2008
1142,793,0,3,0,4,4,0,0,6,6,0,0,2,793,1,2,2,5,252,4,3,9,10,1,1,2,6,550,2,5,2,5,1,1976.0,1935,1,1,4,5,661,1,3,3,0,12384,1,69.0,3,0,60,3,233.0,1,0,11,14,113,7,7,2,0,1,1,4,8,0,1,7,793,0,0,1976,1976,2007
1098,866,0,4,0,4,4,403,0,0,6,0,0,4,400,1,2,2,5,0,4,3,9,10,1,1,2,6,483,2,5,2,5,1,1976.0,1964,1,1,4,5,1112,1,3,3,0,10480,4,80.0,3,0,60,3,660.0,1,0,9,14,69,6,7,2,0,1,3,4,8,0,1,8,803,0,0,1976,1976,2008
833,833,0,3,0,4,4,0,0,6,6,0,0,4,588,1,2,2,5,0,2,3,11,15,1,2,1,6,228,1,5,3,5,5,1925.0,1666,0,1,1,5,459,1,2,3,0,5100,4,69.0,3,0,70,4,0.0,3,0,6,17,63,7,8,2,0,1,3,4,8,0,1,7,588,0,192,1925,1996,2008
985,0,0,3,0,1,0,595,0,2,6,0,0,2,390,1,2,2,5,0,4,2,6,6,0,1,2,6,328,1,5,3,5,1,1977.0,985,0,1,4,7,1006,1,3,3,0,8385,4,65.0,3,0,80,3,220.0,1,0,11,5,0,8,5,2,0,1,1,4,8,0,1,6,985,0,210,1977,1977,2008
1358,0,0,2,4,4,0,720,0,2,6,1,0,2,638,1,2,2,5,0,4,2,12,13,1,2,2,6,484,2,5,2,5,1,2004.0,1358,0,1,0,2,334,1,2,3,0,8198,3,59.0,3,0,120,4,146.0,4,0,7,16,30,5,7,2,0,1,1,4,8,0,1,6,1358,0,192,2004,2004,2008
848,0,0,1,4,4,0,662,0,2,6,1,0,2,186,1,2,2,5,0,4,2,12,13,0,2,1,6,420,2,5,2,5,1,2004.0,848,0,1,0,2,722,1,2,3,0,4426,4,69.0,3,0,120,4,169.0,1,0,5,5,0,5,6,2,0,1,1,4,8,0,1,3,848,0,160,2004,2004,2010
1120,850,0,3,0,4,2,0,0,6,6,0,0,2,1085,1,2,2,5,0,4,2,12,13,1,2,2,6,753,3,5,0,5,3,2006.0,1970,1,1,0,5,1290,1,0,3,0,11065,4,86.0,0,0,60,3,788.0,4,0,10,16,74,5,8,2,0,1,1,5,6,0,1,8,1085,0,177,2006,2006,2006
2046,0,0,3,0,4,2,0,0,6,6,0,0,0,2046,1,2,2,5,0,4,2,12,13,1,2,2,6,834,3,5,0,5,1,2008.0,2046,1,1,0,2,679,1,2,3,0,11844,4,80.0,0,0,20,3,464.0,4,0,7,22,82,5,8,2,0,1,3,5,6,0,1,7,2046,0,322,2008,2008,2009
992,873,0,3,0,4,4,735,0,2,6,1,0,2,257,1,2,2,5,0,4,2,12,13,1,2,2,6,839,3,5,2,5,1,2000.0,1865,1,1,0,5,1355,1,2,3,0,10316,4,69.0,0,0,60,3,0.0,3,0,6,5,184,5,7,2,0,1,1,4,8,0,1,7,992,0,0,2000,2000,2008
1445,689,0,5,0,4,4,0,0,6,6,0,0,4,844,0,4,2,0,268,4,3,13,15,0,0,2,6,441,2,5,3,5,5,1930.0,2134,0,1,2,4,329,1,2,0,0,11888,4,69.0,0,0,75,3,0.0,3,0,7,3,60,6,6,2,0,1,1,4,8,0,1,10,844,0,0,1916,1994,2009
1372,1274,0,4,0,4,1,987,0,2,6,1,0,2,360,1,2,2,5,144,4,2,6,6,1,2,2,6,656,3,5,2,5,1,1993.0,2646,1,1,0,5,319,1,2,2,1,9900,4,90.0,3,0,60,3,256.0,1,0,4,15,60,5,7,2,0,1,1,4,8,0,1,9,1347,0,340,1993,1993,2009
1236,0,0,2,0,4,4,600,0,2,6,1,0,4,312,1,0,2,0,158,4,3,8,8,0,1,1,6,923,2,5,3,5,1,1957.0,1236,0,1,4,2,1439,1,3,3,0,7407,4,90.0,3,0,20,4,0.0,3,0,4,17,158,7,6,2,0,1,1,4,8,0,1,6,912,0,0,1957,1996,2010
902,0,0,2,0,4,0,301,324,1,0,1,0,2,239,1,2,2,5,0,4,3,6,6,0,1,1,6,484,2,5,3,5,1,1983.0,902,0,1,4,2,909,1,3,2,1,8885,4,69.0,0,0,20,3,0.0,3,0,6,11,0,5,5,2,0,1,1,4,8,0,1,5,864,0,164,1983,1983,2006
912,0,0,2,0,4,4,737,0,0,6,1,0,4,175,1,2,2,5,0,4,3,6,10,0,1,1,6,352,1,5,3,5,5,1962.0,912,0,1,4,2,13,1,3,3,0,12968,4,69.0,1,0,20,3,0.0,3,0,9,19,0,6,5,2,0,1,3,4,8,176,1,4,912,0,140,1962,1962,2008
1656,0,0,3,0,1,1,639,0,1,6,1,0,4,441,1,2,2,5,0,4,3,3,10,2,1,1,6,528,2,5,0,5,1,1960.0,1656,0,1,1,2,172,1,3,3,0,31770,0,141.0,0,0,20,3,112.0,4,0,5,12,62,5,6,1,0,1,3,4,8,0,1,7,1080,0,210,1960,1960,2010
1382,0,0,3,0,4,1,672,690,5,0,1,0,4,0,1,0,2,5,252,4,3,13,14,1,1,1,6,884,2,5,3,5,1,1991.0,1382,0,1,4,7,261,1,3,3,0,19296,0,120.0,3,0,80,3,399.0,1,0,5,12,0,5,6,2,0,1,1,4,8,0,1,6,1362,0,0,1962,1962,2009
2020,0,0,4,2,2,3,0,0,4,4,0,0,3,0,1,1,2,5,0,4,3,9,10,2,3,2,6,630,2,5,3,5,5,1977.0,2020,0,1,4,2,779,2,3,3,0,8400,4,60.0,3,0,90,2,320.0,1,0,10,20,0,5,5,2,0,1,1,4,8,0,1,10,0,0,0,1977,1977,2007
1052,0,0,3,0,4,0,504,0,2,6,1,0,4,506,1,2,2,5,0,4,3,6,6,0,1,1,6,440,2,5,3,5,1,1971.0,1052,0,1,2,7,819,1,3,3,0,8816,4,80.0,3,0,80,3,80.0,1,0,6,4,0,7,6,2,0,1,1,4,8,0,1,6,1010,0,0,1971,1971,2010
1328,1203,0,4,0,4,0,56,64,3,0,0,0,2,1198,1,2,2,5,0,4,2,12,13,1,2,2,6,752,3,5,2,5,1,1995.0,2531,1,1,0,5,760,1,2,3,0,12257,4,65.0,0,0,60,3,513.0,1,0,11,15,98,5,8,2,0,1,1,4,8,0,1,9,1318,0,222,1995,1995,2007
1004,848,0,3,0,4,2,668,0,2,6,0,0,2,336,1,2,2,5,0,4,2,12,13,2,2,2,6,660,3,5,0,5,1,1999.0,1852,1,1,0,5,139,1,2,3,0,9066,4,73.0,0,0,60,3,320.0,1,0,12,5,106,5,8,2,0,1,1,4,8,0,1,7,1004,0,224,1999,2000,2008
1660,0,0,3,0,4,2,1220,0,2,6,1,0,0,440,1,8,2,5,0,4,2,12,13,1,2,2,6,500,2,5,2,5,1,2006.0,1660,0,1,0,2,1210,1,2,3,0,10182,1,85.0,0,0,20,3,420.0,4,0,5,21,50,5,8,2,0,1,3,5,6,0,1,8,1660,0,322,2006,2006,2006
1709,0,0,2,4,4,0,1238,0,2,6,1,0,0,460,1,2,2,5,0,4,2,8,8,1,2,2,6,506,2,5,0,5,1,1999.0,1709,0,1,0,2,886,1,2,3,0,5119,1,50.0,0,0,120,1,60.0,1,0,1,21,65,5,9,2,0,1,1,0,1,0,1,5,1698,0,97,1999,2000,2008
912,0,0,3,0,4,2,832,0,2,6,1,1,4,80,1,1,2,5,0,2,3,6,6,0,1,1,6,288,1,5,3,5,5,1962.0,912,0,1,2,2,742,1,2,3,0,6768,4,65.0,0,0,20,3,0.0,3,0,5,19,0,8,6,2,0,1,3,4,8,0,1,5,912,0,168,1961,1996,2008
928,836,0,3,0,4,4,821,0,2,6,1,0,2,107,1,2,2,5,0,4,3,12,13,0,2,2,6,470,2,5,2,5,1,1997.0,1764,1,1,0,5,140,1,2,3,0,15426,4,65.0,0,0,60,3,0.0,3,0,8,5,99,5,6,2,0,1,1,4,8,0,1,7,928,0,276,1997,1997,2009
735,660,0,3,0,1,4,593,0,1,6,0,1,4,130,1,2,2,5,0,4,3,6,10,1,1,1,6,497,2,5,3,5,1,1972.0,1395,1,1,4,5,1277,1,3,3,0,12936,1,69.0,0,0,60,3,0.0,3,0,12,14,116,6,6,2,0,1,1,4,8,0,1,6,723,0,294,1972,1972,2009
1040,0,0,3,0,4,4,824,0,0,6,1,0,4,216,1,1,2,5,220,4,3,6,6,0,1,1,6,308,1,5,0,5,1,1963.0,1040,1,1,1,2,1082,1,3,3,0,7500,0,75.0,3,0,20,3,0.0,3,0,6,19,0,5,5,2,0,1,1,4,8,0,1,5,1040,0,0,1963,1963,2010
2392,0,0,3,0,4,1,56,0,2,6,0,0,0,2336,1,2,2,5,0,4,0,12,13,1,2,2,6,968,3,5,0,5,1,2003.0,2392,0,1,0,2,225,1,0,3,0,13472,4,103.0,3,0,20,3,922.0,1,0,6,16,105,5,10,2,0,1,3,4,8,0,1,8,2392,0,248,2003,2003,2009
1103,0,0,2,0,4,4,397,0,1,6,0,0,4,706,1,0,2,5,0,2,3,8,8,1,0,1,6,440,2,5,3,5,5,1976.0,1103,0,1,2,2,1064,1,2,3,0,6000,4,50.0,3,0,30,4,0.0,3,0,7,17,120,6,6,2,0,1,1,4,8,0,1,5,1103,0,166,1925,1980,2006
1050,1028,0,3,0,4,4,789,0,2,6,1,0,0,245,1,2,2,5,0,4,2,12,13,1,2,2,6,836,3,5,0,5,1,2008.0,2078,1,1,0,5,410,1,0,3,0,10800,4,85.0,3,0,60,1,100.0,4,0,4,21,102,5,8,2,0,1,1,5,6,0,1,8,1034,0,0,2007,2008,2008
803,0,0,2,0,4,0,116,0,1,6,0,0,4,604,0,5,2,1,244,4,3,8,8,0,1,1,6,360,2,5,3,5,5,1941.0,803,0,1,3,1,326,1,3,3,0,5000,4,50.0,3,0,45,4,0.0,3,0,12,9,0,6,5,2,0,1,1,4,8,0,1,5,720,0,0,1941,1950,2007
1152,0,0,3,0,4,4,0,0,6,6,0,1,4,1092,1,2,2,5,0,2,3,6,6,1,1,1,6,300,1,5,3,5,1,1950.0,1152,0,1,0,2,300,1,2,3,0,14000,4,80.0,3,0,20,3,0.0,3,0,8,6,36,8,6,2,0,1,1,3,8,0,1,6,1092,0,0,1950,2004,2009
1173,0,0,3,0,4,1,885,168,2,3,1,0,2,0,1,2,2,5,0,4,3,9,10,2,1,2,6,528,2,5,2,5,1,1974.0,1173,0,1,4,6,1243,1,2,3,0,10625,4,85.0,3,0,85,3,81.0,1,0,1,14,120,6,7,2,0,1,1,3,8,0,1,6,1053,0,0,1974,1974,2010
372,720,0,3,1,2,3,0,0,4,4,0,0,3,0,0,2,2,5,0,1,1,12,15,0,3,2,4,0,0,3,1,3,6,1980.0,1092,0,1,1,5,706,2,1,3,0,5600,4,70.0,3,0,190,4,0.0,3,3500,7,9,0,5,4,0,0,1,3,4,8,0,1,7,0,0,0,1930,1950,2010
892,892,0,4,0,4,2,0,0,6,6,0,0,2,747,1,2,2,1,0,4,3,13,14,0,0,1,6,180,1,1,3,1,5,1914.0,1784,1,1,2,5,1236,1,3,3,0,13132,4,96.0,3,0,70,3,0.0,3,0,7,6,40,5,5,0,0,1,1,4,8,0,1,9,747,0,203,1914,1950,2006
1222,698,0,4,0,4,4,0,0,6,6,0,0,4,570,1,2,2,5,0,4,3,8,8,1,1,3,6,487,2,5,2,5,1,1968.0,1920,0,1,2,7,1356,1,2,3,0,10192,4,102.0,0,0,80,3,143.0,1,0,9,14,98,6,7,2,0,1,1,4,8,0,1,8,570,0,0,1968,1992,2006
1670,0,0,3,0,4,4,0,0,6,6,0,0,2,1670,1,2,2,5,0,4,2,12,13,1,2,2,6,690,3,5,2,5,1,2006.0,1670,0,1,0,2,904,1,2,1,0,14859,1,50.0,0,0,20,3,27.0,1,0,8,8,60,5,7,2,0,1,3,5,6,0,1,7,1670,0,144,2006,2006,2006
520,623,0,2,3,4,4,0,0,6,6,0,0,2,600,1,2,2,5,0,4,2,8,8,0,2,2,6,480,2,5,2,5,5,2005.0,1223,1,1,0,5,830,1,2,3,0,2544,4,24.0,3,80,160,1,0.0,3,0,7,21,166,5,7,2,0,1,1,4,8,0,1,4,600,0,0,2005,2005,2006
